flowBytesPerSecond,mean_flowiat,label
1097389.39003982,850.3208633094,0
220560.487032085,3832.9860640301,1
6.3629148014,11800000.0,1
585.9979929262,1057365.45614035,1
1587.1243350353,210443.5,0
188.8241520615,550777.0,1
6403508.77192982,57.0,1
801.9939161091,171655.5,0
568.4259293625,186284.410015649,1
159.1042475916,2897645.94444444,0
206.0214627209,2445520.87234043,0
107.8980061264,1954314.76666667,1
1580.1537356043,214840.480988593,0
180.4918979828,2408732.81081081,1
3.4420169301,18100000.0,1
241061.130334487,433.5,1
1474.4129381768,309311.504807692,0
612.71574434,1229198.74712644,1
9200000.0,10.0,1
1866.0000232535,218810.697318008,1
32739.7827541172,19620.625,0
341.951500885,1262971.5,0
36.2074006415,4914806.85714286,0
737.6820956202,536135.502439024,0
6.2912664683,45700000.0,0
1203.5963206056,145922.623529412,0
18700.011265067,17754.0,0
3283.3717591683,208627.0,1
43403.2768036792,1739.5,0
132309.217046581,504.5,0
33.9984038005,5273777.0,0
11211.4848103521,114426.765151515,0
0.0,0.0,0
2060.5654972457,134605.590909091,1
11640.3958213583,13017.9197222825,0
98.5965989452,2847778.25,1
7549.4306178491,44621.4666666667,1
6.2772513266,11900000.0,0
98.6922463419,2987708.22727273,0
1959459.45945946,74.0,1
65.0781394909,1849059.21212121,0
39.0167942948,4385803.68,0
536.3430730126,171532.0,1
1840000.0,50.0,1
258064.516129032,310.0,1
41644.5039526054,7788.7142857143,0
16947.2913616398,5464.0,1
86.0994883322,3124292.66666667,0
2338709.67741935,62.0,1
144.2604093649,3044263.27777778,0
1791519.43462898,283.0,0
1390.1957167151,124345.804776739,1
1864541.83266932,251.0,0
5171453.81474287,190.7956871258,0
10952.3251727773,8537.0,1
37.1561608895,3345240.55555556,1
230.8412154482,2577776.85714286,0
69462.6285878714,4964.6428571429,1
390165.47033165,2464.1919525066,1
363.1872466735,680824.2,0
254.0243236037,548956.390804598,1
1673.3426339808,205392.587826087,0
344693.281402142,456.4444444444,0
512.4086656189,202963.0,1
20132.3039333826,21878.0,0
7050.7233156981,49333.0,1
30790.8642172177,15329.2222222222,0
1111.6774487203,200396.48020654,1
691.0636937092,275122.580152672,1
6.4830586041,13100000.0,0
138169.257340242,579.0,1
2.5333690961,20000000.0,0
748.4024486193,104222.0,1
1607692.30769231,65.0,1
18.2382508004,2988966.10810811,1
0.0,0.0,1
6477.9852426646,14433.5,1
258.9302163667,1939762.63157895,0
62.5728905246,4115200.65384615,0
392908.262919188,2300.7477477478,0
28.4775066751,3314506.77777778,1
0.0,0.0,1
8456.546193309,106277.256880734,0
11101.2157681469,9999.7381448454,0
86.4547961868,2919194.64864865,1
1094.1954573927,1133494.1509434,0
28.6372672699,11100000.0,0
87.693105546,1537705.30769231,0
359.68810433,233790.378167641,1
0.0,0.0,0
